State,Number of CoCs,"Overall Homeless, 2013","Overall Homeless - Under 18, 2013","Overall Homeless - Age 18 to 24, 2013","Overall Homeless - Over 24, 2013","Sheltered ES Homeless, 2013","Sheltered ES Homeless - Under 18, 2013","Sheltered ES Homeless - Age 18 to 24, 2013","Sheltered ES Homeless - Over 24, 2013","Sheltered TH Homeless, 2013","Sheltered TH Homeless - Under 18, 2013","Sheltered TH Homeless - Age 18 to 24, 2013","Sheltered TH Homeless - Over 24, 2013","Sheltered SH Homeless, 2013","Sheltered SH Homeless - Age 18 to 24, 2013","Sheltered SH Homeless - Over 24, 2013","Sheltered Total Homeless, 2013","Sheltered Total Homeless - Under 18, 2013","Sheltered Total Homeless - Age 18 to 24, 2013","Sheltered Total Homeless - Over 24, 2013","Unsheltered Homeless, 2013","Unsheltered Homeless - Under 18, 2013","Unsheltered Homeless - Age 18 to 24, 2013","Unsheltered Homeless - Over 24, 2013","Overall Homeless Individuals, 2013","Overall Homeless Individuals - Under 18, 2013","Overall Homeless Individuals - Age 18 to 24, 2013","Overall Homeless Individuals - Over 24, 2013","Sheltered ES Homeless Individuals, 2013","Sheltered ES Homeless Individuals - Under 18, 2013","Sheltered ES Homeless Individuals - Age 18 to 24, 2013","Sheltered ES Homeless Individuals - Over 24, 2013","Sheltered TH Homeless Individuals, 2013","Sheltered TH Homeless Individuals - Under 18, 2013","Sheltered TH Homeless Individuals - Age 18 to 24, 2013","Sheltered TH Homeless Individuals - Over 24, 2013","Sheltered SH Homeless Individuals, 2013","Sheltered SH Homeless Individuals - Age 18 to 24, 2013","Sheltered SH Homeless Individuals - Over 24, 2013","Sheltered Total Homeless Individuals, 2013","Sheltered Total Homeless Individuals - Under 18, 2013","Sheltered Total Homeless Individuals - Age 18 to 24, 2013","Sheltered Total Homeless Individuals - Over 24, 2013","Unsheltered Homeless Individuals, 2013","Unsheltered Homeless Individuals - Under 18, 2013","Unsheltered Homeless Individuals - Age 18 to 24, 2013","Unsheltered Homeless Individuals - Over 24, 2013","Overall Homeless People in Families, 2013","Overall Homeless People in Families - Under 18, 2013","Overall Homeless People in Families - Age 18 to 24, 2013","Overall Homeless People in Families - Over 24, 2013","Sheltered ES Homeless People in Families, 2013","Sheltered ES Homeless People in Families - Under 18, 2013","Sheltered ES Homeless People in Families - Age 18 to 24, 2013","Sheltered ES Homeless People in Families - Over 24, 2013","Sheltered TH Homeless People in Families, 2013","Sheltered TH Homeless People in Families - Under 18, 2013","Sheltered TH Homeless People in Families - Age 18 to 24, 2013","Sheltered TH Homeless People in Families - Over 24, 2013","Sheltered Total Homeless People in Families, 2013","Sheltered Total Homeless People in Families - Under 18, 2013","Sheltered Total Homeless People in Families - Age 18 to 24, 2013","Sheltered Total Homeless People in Families - Over 24, 2013","Unsheltered Homeless People in Families, 2013","Unsheltered Homeless People in Families - Under 18, 2013","Unsheltered Homeless People in Families - Age 18 to 24, 2013","Unsheltered Homeless People in Families - Over 24, 2013","Overall Homeless Family Households, 2013","Sheltered ES Homeless Family Households, 2013","Sheltered TH Homeless Family Households, 2013","Sheltered Total Homeless Family Households, 2013","Unsheltered Homeless Family Households, 2013","Overall Chronically Homeless, 2013","Sheltered ES Chronically Homeless, 2013","Sheltered SH Chronically Homeless, 2013","Sheltered Total Chronically Homeless, 2013","Unsheltered Chronically Homeless, 2013","Overall Chronically Homeless Individuals, 2013","Sheltered ES Chronically Homeless Individuals, 2013","Sheltered SH Chronically Homeless Individuals, 2013","Sheltered Total Chronically Homeless Individuals, 2013","Unsheltered Chronically Homeless Individuals, 2013","Overall Chronically Homeless People in Families, 2013","Sheltered ES Chronically Homeless People in Families, 2013","Sheltered Total Chronically Homeless People in Families, 2013","Unsheltered Chronically Homeless People in Families, 2013","Overall Homeless Veterans, 2013","Overall Homeless Veterans - Female, 2013","Sheltered Total Homeless Veterans, 2013","Sheltered Total Homeless Veterans - Female, 2013","Unsheltered Homeless Veterans, 2013","Unsheltered Homeless Veterans - Female, 2013"
OR,7,"13,822","3,123","1,368","9,331","2,800",545,263,"1,992","3,619","1,228",356,"2,035",13,1,12,"6,432","1,773",620,"4,039","7,390","1,350",748,"5,292","8,994",269,"1,016","7,709","1,983",73,207,"1,703","1,606",40,190,"1,376",13,1,12,"3,602",113,398,"3,091","5,392",156,618,"4,618","4,828","2,854",352,"1,622",817,472,56,289,"2,013","1,188",166,659,"2,830","1,660",222,948,"1,998","1,194",130,674,"1,524",276,629,905,619,"3,043",712,11,723,"2,320","2,444",577,11,588,"1,856",599,135,135,464,"1,494",131,709,65,785,66
PA,18,"15,086","4,467","1,590","9,029","6,943","1,755",717,"4,471","6,555","2,617",766,"3,172",229,5,224,"13,727","4,372","1,488","7,867","1,359",95,102,"1,162","7,973",36,816,"7,121","4,207",32,437,"3,738","2,331",4,287,"2,040",229,5,224,"6,767",36,729,"6,002","1,206",0,87,"1,119","7,113","4,431",774,"1,908","2,736","1,723",280,733,"4,224","2,613",479,"1,132","6,960","4,336",759,"1,865",153,95,15,43,"2,409",929,"1,432","2,361",48,"1,681",828,182,"1,010",671,"1,536",707,182,889,647,145,121,121,24,"1,462",147,"1,290",130,172,17
PR,2,"4,128",365,203,"3,560",339,22,18,299,995,188,92,715,68,0,68,"1,402",210,110,"1,082","2,726",155,93,"2,478","3,470",4,152,"3,314",300,0,14,286,689,0,58,631,68,0,68,"1,057",0,72,985,"2,413",4,80,"2,329",658,361,51,246,39,22,4,13,306,188,34,84,345,210,38,97,313,151,13,149,185,16,91,107,78,"2,130",195,66,261,"1,869","1,629",190,66,256,"1,373",501,5,5,496,82,2,40,1,42,1
RI,1,"1,384",334,120,930,850,186,71,593,400,144,37,219,17,1,16,"1,267",330,109,828,117,4,11,102,862,4,71,787,564,2,46,516,172,2,13,157,17,1,16,753,4,60,689,109,0,11,98,522,330,49,143,286,184,25,77,228,142,24,62,514,326,49,139,8,4,0,4,177,96,79,175,2,251,182,16,198,53,243,174,16,190,53,8,8,8,0,97,2,95,2,2,0
SC,4,"6,544","1,139",436,"4,969","1,677",238,118,"1,321","1,722",446,120,"1,156",12,1,11,"3,411",684,239,"2,488","3,133",455,197,"2,481","4,736",4,315,"4,417","1,300",0,85,"1,215","1,027",2,75,950,12,1,11,"2,339",2,161,"2,176","2,397",2,154,"2,241","1,808","1,135",121,552,377,238,33,106,695,444,45,206,"1,072",682,78,312,736,453,43,240,640,136,229,365,275,483,131,12,143,340,453,113,12,125,328,30,18,18,12,636,52,345,28,291,24
SD,1,"1,094",400,95,599,433,139,30,264,322,125,46,151,0,0,0,755,264,76,415,339,136,19,184,557,20,56,481,255,17,19,219,139,3,23,113,0,0,0,394,20,42,332,163,0,14,149,537,380,39,118,178,122,11,45,183,122,23,38,361,244,34,83,176,136,5,35,154,56,59,115,39,217,71,0,71,146,117,42,0,42,75,100,29,29,71,125,6,106,6,19,0
TN,10,"9,528","1,483",654,"7,391","3,421",410,224,"2,787","2,881",624,234,"2,023",19,0,19,"6,321","1,034",458,"4,829","3,207",449,196,"2,562","6,909",78,550,"6,281","2,707",5,192,"2,510","1,906",22,205,"1,679",19,0,19,"4,632",27,397,"4,208","2,277",51,153,"2,073","2,619","1,405",104,"1,110",714,405,32,277,975,602,29,344,"1,689","1,007",61,621,930,398,43,489,880,249,332,581,299,"2,219","1,144",18,"1,162","1,057","1,929","1,061",18,"1,079",850,290,83,83,207,991,42,728,33,263,9
TX,12,"29,615","5,478","2,056","22,081","9,935","2,104",714,"7,117","7,456","2,575",579,"4,302",134,5,129,"17,525","4,679","1,298","11,548","12,090",799,758,"10,533","20,758",718,"1,504","18,536","6,259",154,503,"5,602","3,288",105,298,"2,885",134,5,129,"9,681",259,806,"8,616","11,077",459,698,"9,920","8,857","4,760",552,"3,545","3,676","1,950",211,"1,515","4,168","2,470",281,"1,417","7,844","4,420",492,"2,932","1,013",340,60,613,"2,826","1,140","1,392","2,532",294,"5,535","2,057",111,"2,168","3,367","4,770","1,566",111,"1,677","3,093",765,491,491,274,"3,878",287,"2,007",200,"1,871",87
UT,3,"3,277",858,219,"2,200","1,773",383,107,"1,283","1,037",445,74,518,49,1,48,"2,859",828,182,"1,849",418,30,37,351,"1,959",13,127,"1,819","1,172",9,68,"1,095",372,3,29,340,49,1,48,"1,593",12,98,"1,483",366,1,29,336,"1,318",845,92,381,601,374,39,188,665,442,45,178,"1,266",816,84,366,52,29,8,15,406,189,202,391,15,454,300,49,349,105,347,219,49,268,79,107,81,81,26,327,17,290,17,37,0
VA,16,"7,625","1,939",544,"5,142","4,285",916,319,"3,050","2,260",976,164,"1,120",58,0,58,"6,603","1,892",483,"4,228","1,022",47,61,914,"4,532",6,310,"4,216","2,823",3,212,"2,608",706,2,45,659,58,0,58,"3,587",5,257,"3,325",945,1,53,891,"3,093","1,933",234,926,"1,462",913,107,442,"1,554",974,119,461,"3,016","1,887",226,903,77,46,8,23,984,469,490,959,25,"1,356",830,45,875,481,"1,262",752,45,797,465,94,78,78,16,719,66,625,63,94,3
VI,1,482,24,24,434,68,14,11,43,51,10,6,35,0,0,0,119,24,17,78,363,0,7,356,444,0,19,425,46,0,8,38,35,0,4,31,0,0,0,81,0,12,69,363,0,7,356,38,24,5,9,22,14,3,5,16,10,2,4,38,24,5,9,0,0,0,0,11,7,4,11,0,87,0,0,0,87,87,0,0,0,87,0,0,0,0,33,3,2,1,31,2
VT,2,"1,454",430,176,848,959,334,111,514,307,78,45,184,4,0,4,"1,270",412,156,702,184,18,20,146,701,7,79,615,379,6,42,331,164,1,19,144,4,0,4,547,7,61,479,154,0,18,136,753,423,97,233,580,328,69,183,143,77,26,40,723,405,95,223,30,18,2,10,262,203,50,253,9,217,140,0,140,77,183,110,0,110,73,34,30,30,4,128,7,111,6,17,1
WA,7,"17,760","4,039","1,574","12,147","5,969","1,219",446,"4,304","6,684","2,539",778,"3,367",54,0,54,"12,707","3,758","1,224","7,725","5,053",281,350,"4,422","10,617",145,"1,011","9,461","4,032",60,297,"3,675","1,946",55,395,"1,496",54,0,54,"6,032",115,692,"5,225","4,585",30,319,"4,236","7,143","3,894",563,"2,686","1,937","1,159",149,629,"4,738","2,484",383,"1,871","6,675","3,643",532,"2,500",468,251,31,186,"2,217",614,"1,467","2,081",136,"2,196","1,031",45,"1,076","1,120","1,927",910,45,955,972,269,121,121,148,"1,318",101,"1,058",86,260,15
WI,4,"6,104","1,980",669,"3,455","3,036",820,328,"1,888","2,638","1,115",284,"1,239",62,3,59,"5,736","1,935",615,"3,186",368,45,54,269,"3,005",22,360,"2,623","1,760",15,211,"1,534",881,1,99,781,62,3,59,"2,703",16,313,"2,374",302,6,47,249,"3,099","1,958",309,832,"1,276",805,117,354,"1,757","1,114",185,458,"3,033","1,919",302,812,66,39,7,20,"1,016",420,574,994,22,521,359,24,383,138,449,289,24,313,136,72,70,70,2,552,42,528,40,24,2
WV,4,"2,240",414,290,"1,536","1,100",205,75,820,501,135,112,254,11,1,10,"1,612",340,188,"1,084",628,74,102,452,"1,544",17,238,"1,289",750,7,51,692,277,4,99,174,11,1,10,"1,038",11,151,876,506,6,87,413,696,397,52,247,350,198,24,128,224,131,13,80,574,329,37,208,122,68,15,39,228,117,75,192,36,432,242,8,250,182,390,203,8,211,179,42,39,39,3,329,15,292,14,37,1
WY,1,953,223,98,632,292,31,12,249,209,74,9,126,0,0,0,501,105,21,375,452,118,77,257,677,68,75,534,245,0,8,237,61,0,2,59,0,0,0,306,0,10,296,371,68,65,238,276,155,23,98,47,31,4,12,148,74,7,67,195,105,11,79,81,50,12,19,84,11,44,55,29,244,116,0,116,128,221,116,0,116,105,23,0,0,23,137,2,110,2,27,0
Total,415,"590,364","138,146","59,798","392,420","236,658","65,808","22,027","148,823","156,015","51,933","16,791","87,291","2,025",61,"1,964","394,698","117,741","38,879","238,078","195,666","20,405","20,919","154,342","368,174","7,634","38,986","321,554","129,278","1,887","11,893","115,498","71,824","1,292","8,987","61,545","2,025",61,"1,964","203,127","3,179","20,941","179,007","165,047","4,455","18,045","142,547","222,190","130,512","20,812","70,866","107,380","63,921","10,134","33,325","84,191","50,641","7,804","25,746","191,571","114,562","17,938","59,071","30,619","15,950","2,874","11,795","70,957","33,586","27,269","60,855","10,102","102,828","36,130","1,438","37,568","65,260","86,289","27,980","1,438","29,418","56,871","16,539","8,150","8,150","8,389","55,619","4,339","34,909","2,932","20,710","1,407"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
