State,Number of CoCs,"Overall Homeless, 2014","Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
FL,28,"41,542","8,579","3,522","29,441","10,250","2,376",794,"7,080","9,469","2,609","1,031","5,829",132,1,131,"19,851","4,985","1,826","13,040","21,691","3,594","1,696","16,401","28,730","1,740","2,426","24,564","7,319",577,555,"6,187","5,435",265,708,"4,462",132,1,131,"12,886",842,"1,264","10,780","15,844",898,"1,162","13,784","12,812","6,839","1,096","4,877","2,931","1,799",239,893,"4,034","2,344",323,"1,367","6,965","4,143",562,"2,260","5,847","2,696",534,"2,617","4,550",950,"1,277","2,227","2,323","7,989","1,798",105,"1,903","6,086","6,843","1,612",105,"1,717","5,126","1,146",186,186,960,"4,552",518,"2,424",207,"2,128",311
GA,9,"16,521","2,716","1,246","12,559","4,441",962,368,"3,111","3,773","1,181",278,"2,314",0,0,0,"8,214","2,143",646,"5,425","8,307",573,600,"7,134","12,403",94,935,"11,374","3,004",10,278,"2,716","1,928",0,141,"1,787",0,0,0,"4,932",10,419,"4,503","7,471",84,516,"6,871","4,118","2,622",311,"1,185","1,437",952,90,395,"1,845","1,181",137,527,"3,282","2,133",227,922,836,489,84,263,"1,291",446,577,"1,023",268,"3,004",945,0,945,"2,059","2,645",862,0,862,"1,783",359,83,83,276,"1,443",144,647,73,796,71
GU,1,"1,356",535,149,672,57,27,5,25,69,22,5,42,0,0,0,126,49,10,67,"1,230",486,139,605,332,4,27,301,16,4,2,10,21,0,0,21,0,0,0,37,4,2,31,295,0,25,270,"1,024",531,122,371,41,23,3,15,48,22,5,21,89,45,8,36,935,486,114,335,180,10,10,20,160,67,0,0,0,67,24,0,0,0,24,43,0,0,43,36,0,6,0,30,0
HI,2,"6,918","1,864",507,"4,547","1,162",421,82,659,"2,626","1,131",174,"1,321",25,1,24,"3,813","1,552",257,"2,004","3,105",312,250,"2,543","3,750",15,287,"3,448",481,7,37,437,658,0,37,621,25,1,24,"1,164",7,75,"1,082","2,586",8,212,"2,366","3,168","1,849",220,"1,099",681,414,45,222,"1,968","1,131",137,700,"2,649","1,545",182,922,519,304,38,177,790,168,495,663,127,"1,301",177,22,199,"1,102","1,109",123,22,145,964,192,54,54,138,593,43,247,20,346,23
IA,3,"3,122","1,030",311,"1,781","1,387",318,136,933,"1,539",700,163,676,0,0,0,"2,926","1,018",299,"1,609",196,12,12,172,"1,544",8,171,"1,365",884,1,95,788,484,7,65,412,0,0,0,"1,368",8,160,"1,200",176,0,11,165,"1,578","1,022",140,416,503,317,41,145,"1,055",693,98,264,"1,558","1,010",139,409,20,12,1,7,487,153,329,482,5,244,154,0,154,90,211,121,0,121,90,33,33,33,0,202,17,177,15,25,2
ID,2,"2,104",518,186,"1,400",739,137,74,528,729,247,53,429,0,0,0,"1,468",384,127,957,636,134,59,443,"1,234",6,111,"1,117",525,6,54,465,323,0,21,302,0,0,0,848,6,75,767,386,0,36,350,870,512,75,283,214,131,20,63,406,247,32,127,620,378,52,190,250,134,23,93,264,72,125,197,67,244,105,0,105,139,156,69,0,69,87,88,36,36,52,215,27,135,12,80,15
IL,20,"13,107","3,592","1,450","8,065","5,031",872,525,"3,634","6,281","2,643",762,"2,876",97,7,90,"11,409","3,515","1,294","6,600","1,698",77,156,"1,465","7,350",63,805,"6,482","3,539",20,335,"3,184","2,157",36,342,"1,779",97,7,90,"5,793",56,684,"5,053","1,557",7,121,"1,429","5,757","3,529",645,"1,583","1,492",852,190,450,"4,124","2,607",420,"1,097","5,616","3,459",610,"1,547",141,70,35,36,"1,880",511,"1,313","1,824",56,"1,488",943,67,"1,010",478,"1,349",824,67,891,458,139,119,119,20,"1,234",108,913,56,321,52
IN,3,"5,971","1,277",546,"4,148","3,376",618,347,"2,411","2,170",651,142,"1,377",22,1,21,"5,568","1,269",490,"3,809",403,8,56,339,"3,953",22,381,"3,550","2,362",12,264,"2,086","1,176",9,61,"1,106",22,1,21,"3,560",21,326,"3,213",393,1,55,337,"2,018","1,255",165,598,"1,014",606,83,325,994,642,81,271,"2,008","1,248",164,596,10,7,1,2,654,342,309,651,3,596,470,15,485,111,542,418,15,433,109,54,52,52,2,725,41,687,41,38,0
KS,5,"2,783",707,192,"1,884","1,460",264,99,"1,097","1,064",437,69,558,10,0,10,"2,534",701,168,"1,665",249,6,24,219,"1,533",2,118,"1,413",941,0,71,870,344,2,25,317,10,0,10,"1,295",2,96,"1,197",238,0,22,216,"1,250",705,74,471,519,264,28,227,720,435,44,241,"1,239",699,72,468,11,6,2,3,395,174,217,391,4,320,211,1,212,108,290,183,1,184,106,30,28,28,2,393,17,356,13,37,4
KY,3,"5,089","1,073",484,"3,532","2,382",417,196,"1,769","1,865",510,193,"1,162",11,0,11,"4,258",927,389,"2,942",831,146,95,590,"3,352",33,317,"3,002","1,761",33,152,"1,576","1,033",0,90,943,11,0,11,"2,805",33,242,"2,530",547,0,75,472,"1,737","1,040",167,530,621,384,44,193,832,510,103,219,"1,453",894,147,412,284,146,20,118,564,202,294,496,68,727,496,3,499,228,614,421,3,424,190,113,75,75,38,600,37,558,36,42,1
LA,9,"4,606",860,470,"3,276","1,451",216,130,"1,105","2,030",622,199,"1,209",22,4,18,"3,503",838,333,"2,332","1,103",22,137,944,"3,444",127,376,"2,941","1,141",24,107,"1,010","1,201",95,130,976,22,4,18,"2,364",119,241,"2,004","1,080",8,135,937,"1,162",733,94,335,310,192,23,95,829,527,69,233,"1,139",719,92,328,23,14,2,7,376,109,259,368,8,776,259,3,262,514,743,229,3,232,511,33,30,30,3,437,37,332,32,105,5
MA,18,"21,237","8,916","1,975","10,346","16,835","8,118","1,576","7,141","3,576",789,300,"2,487",67,0,67,"20,478","8,907","1,876","9,695",759,9,99,651,"6,788",22,599,"6,167","3,757",7,365,"3,385","2,217",11,137,"2,069",67,0,67,"6,041",18,502,"5,521",747,4,97,646,"14,449","8,894","1,376","4,179","13,078","8,111","1,211","3,756","1,359",778,163,418,"14,437","8,889","1,374","4,174",12,5,2,5,"4,781","4,275",502,"4,777",4,"3,311","2,952",54,"3,006",305,"1,590","1,231",54,"1,285",305,"1,721","1,721","1,721",0,"1,264",76,"1,234",74,30,2
MD,16,"7,856","1,812",592,"5,452","3,703",779,304,"2,620","2,469",736,147,"1,586",95,1,94,"6,267","1,515",452,"4,300","1,589",297,140,"1,152","4,980",32,381,"4,567","2,470",18,207,"2,245","1,307",4,69,"1,234",95,1,94,"3,872",22,277,"3,573","1,108",10,104,994,"2,876","1,780",211,885,"1,233",761,97,375,"1,162",732,78,352,"2,395","1,493",175,727,481,287,36,158,948,415,388,803,145,"1,740","1,066",69,"1,135",605,"1,515",928,69,997,518,225,138,138,87,654,50,555,35,99,15
ME,2,"2,726",793,315,"1,618","1,107",229,142,736,"1,515",558,148,809,11,0,11,"2,633",787,290,"1,556",93,6,25,62,"1,348",28,204,"1,116",758,20,112,626,513,8,74,431,11,0,11,"1,282",28,186,"1,068",66,0,18,48,"1,378",765,111,502,349,209,30,110,"1,002",550,74,378,"1,351",759,104,488,27,6,7,14,388,108,268,376,12,244,213,5,218,26,218,195,5,200,18,26,18,18,8,152,9,138,8,14,1
MI,21,"12,227","3,145","1,396","7,686","5,513","1,220",582,"3,711","4,522","1,580",535,"2,407",40,1,39,"10,075","2,800","1,118","6,157","2,152",345,278,"1,529","7,535",274,946,"6,315","3,742",126,427,"3,189","2,134",75,303,"1,756",40,1,39,"5,916",201,731,"4,984","1,619",73,215,"1,331","4,692","2,871",450,"1,371","1,771","1,094",155,522,"2,388","1,505",232,651,"4,159","2,599",387,"1,173",533,272,63,198,"1,521",550,780,"1,330",191,"1,293",806,19,825,468,"1,160",726,19,745,415,133,80,80,53,"1,122",73,994,65,128,8
MN,10,"8,377","3,034",983,"4,360","4,414","1,578",368,"2,468","3,168","1,369",489,"1,310",0,0,0,"7,582","2,947",857,"3,778",795,87,126,582,"3,652",59,588,"3,005","2,072",23,246,"1,803",934,26,232,676,0,0,0,"3,006",49,478,"2,479",646,10,110,526,"4,725","2,975",395,"1,355","2,342","1,555",122,665,"2,234","1,343",257,634,"4,576","2,898",379,"1,299",149,77,16,56,"1,422",642,741,"1,383",39,"1,235",889,0,889,346,885,562,0,562,323,350,327,327,23,317,19,263,17,54,2
MO,8,"7,282","1,910",594,"4,778","3,521",910,224,"2,387","2,732",869,261,"1,602",56,4,52,"6,309","1,779",489,"4,041",973,131,105,737,"4,307",94,344,"3,869","2,140",49,129,"1,962","1,455",40,146,"1,269",56,4,52,"3,651",89,279,"3,283",656,5,65,586,"2,975","1,816",250,909,"1,381",861,95,425,"1,277",829,115,333,"2,658","1,690",210,758,317,126,40,151,902,432,381,813,89,997,683,31,714,283,735,438,31,469,266,262,245,245,17,652,59,563,53,89,6
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,"2,226",355,184,"1,687",732,137,55,540,673,195,70,408,0,0,0,"1,405",332,125,948,821,23,59,739,"1,714",40,139,"1,535",559,31,42,486,374,9,40,325,0,0,0,933,40,82,811,781,0,57,724,512,315,45,152,173,106,13,54,299,186,30,83,472,292,43,137,40,23,2,15,179,60,105,165,14,282,79,0,79,203,275,74,0,74,201,7,5,5,2,279,22,221,18,58,4
MT,1,"1,745",354,232,"1,159",471,83,42,346,440,169,40,231,0,0,0,911,252,82,577,834,102,150,582,"1,167",19,184,964,319,1,30,288,174,8,16,150,0,0,0,493,9,46,438,674,10,138,526,578,335,48,195,152,82,12,58,266,161,24,81,418,243,36,139,160,92,12,56,166,42,80,122,44,270,77,0,77,193,256,71,0,71,185,14,6,6,8,256,15,94,8,162,7
NC,12,"11,491","2,548","1,028","7,915","5,631","1,067",463,"4,101","3,243",925,227,"2,091",0,0,0,"8,874","1,992",690,"6,192","2,617",556,338,"1,723","7,498",73,690,"6,735","3,963",34,341,"3,588","1,775",6,113,"1,656",0,0,0,"5,738",40,454,"5,244","1,760",33,236,"1,491","3,993","2,475",338,"1,180","1,668","1,033",122,513,"1,468",919,114,435,"3,136","1,952",236,948,857,523,102,232,"1,303",561,471,"1,032",271,"1,431",720,0,720,711,"1,284",639,0,639,645,147,81,81,66,"1,164",94,982,80,182,14
ND,1,"1,258",217,129,912,639,128,66,445,155,41,26,88,0,0,0,794,169,92,533,464,48,37,379,886,3,99,784,439,0,42,397,87,3,23,61,0,0,0,526,3,65,458,360,0,34,326,372,214,30,128,200,128,24,48,68,38,3,27,268,166,27,75,104,48,3,53,120,63,25,88,32,115,101,0,101,14,111,97,0,97,14,4,4,4,0,151,13,117,13,34,0
NE,3,"3,026",765,311,"1,950","1,584",314,147,"1,123","1,333",437,160,736,0,0,0,"2,917",751,307,"1,859",109,14,4,91,"1,893",42,218,"1,633","1,136",27,112,997,652,3,102,547,0,0,0,"1,788",30,214,"1,544",105,12,4,89,"1,133",723,93,317,448,287,35,126,681,434,58,189,"1,129",721,93,315,4,2,0,2,347,136,210,346,1,426,397,0,397,29,365,336,0,336,29,61,61,61,0,241,11,224,11,17,0
NH,3,"1,376",329,139,908,710,136,56,518,526,186,70,270,7,0,7,"1,243",322,126,795,133,7,13,113,795,1,93,701,464,0,41,423,205,0,40,165,7,0,7,676,0,81,595,119,1,12,106,581,328,46,207,246,136,15,95,321,186,30,105,567,322,45,200,14,6,1,7,213,88,119,207,6,338,279,7,286,52,301,244,7,251,50,37,35,35,2,171,17,162,17,9,0
NJ,17,"11,671","3,287","1,198","7,186","7,692","2,106",827,"4,759","2,989","1,165",327,"1,497",55,4,51,"10,736","3,271","1,158","6,307",935,16,40,879,"6,446",89,658,"5,699","4,325",61,457,"3,807","1,156",26,159,971,55,4,51,"5,536",87,620,"4,829",910,2,38,870,"5,225","3,198",540,"1,487","3,367","2,045",370,952,"1,833","1,139",168,526,"5,200","3,184",538,"1,478",25,14,2,9,"1,716","1,106",602,"1,708",8,"1,399",996,11,"1,007",392,"1,150",749,11,760,390,249,247,247,2,630,48,554,41,76,7
NM,2,"2,746",750,243,"1,753","1,409",290,86,"1,033",909,416,78,415,0,0,0,"2,318",706,164,"1,448",428,44,79,305,"1,804",151,173,"1,480","1,090",89,68,933,339,42,43,254,0,0,0,"1,429",131,111,"1,187",375,20,62,293,942,599,70,273,319,201,18,100,570,374,35,161,889,575,53,261,53,24,17,12,306,123,164,287,19,709,490,0,490,219,617,458,0,458,159,92,32,32,60,318,28,258,19,60,9
NV,3,"8,582","1,542","1,206","5,834","3,582",627,254,"2,701","1,205",171,146,888,10,0,10,"4,797",798,400,"3,599","3,785",744,806,"2,235","7,356",782,"1,117","5,457","2,612",24,196,"2,392",949,14,115,820,10,0,10,"3,571",38,311,"3,222","3,785",744,806,"2,235","1,226",760,89,377,970,603,58,309,256,157,31,68,"1,226",760,89,377,0,0,0,0,397,310,87,397,0,705,101,3,104,601,697,93,3,96,601,8,8,8,0,"1,036",133,546,24,490,109
NY,29,"80,590","28,588","8,608","43,394","66,893","26,469","7,009","33,415","9,405","2,072","1,328","6,005",189,4,185,"76,487","28,541","8,341","39,605","4,103",47,267,"3,789","32,643",151,"3,664","28,828","22,476",84,"2,549","19,843","5,935",58,855,"5,022",189,4,185,"28,600",142,"3,408","25,050","4,043",9,256,"3,778","47,947","28,437","4,944","14,566","44,417","26,385","4,460","13,572","3,470","2,014",473,983,"47,887","28,399","4,933","14,555",60,38,11,11,"14,338","13,061","1,258","14,319",19,"7,212","4,609",174,"4,783","2,429","4,350","1,773",174,"1,947","2,403","2,862","2,836","2,836",26,"2,542",331,"2,085",304,457,27
OH,9,"11,823","2,599","1,236","7,988","7,043","1,506",714,"4,823","3,604",998,426,"2,180",73,0,73,"10,720","2,504","1,140","7,076","1,103",95,96,912,"7,704",38,812,"6,854","4,702",30,492,"4,180","1,994",7,243,"1,744",73,0,73,"6,769",37,735,"5,997",935,1,77,857,"4,119","2,561",424,"1,134","2,341","1,476",222,643,"1,610",991,183,436,"3,951","2,467",405,"1,079",168,94,19,55,"1,314",723,538,"1,261",53,"1,481",977,32,"1,009",472,"1,340",862,32,894,446,141,115,115,26,"1,236",81,"1,102",75,134,6
OK,8,"4,191",749,420,"3,022","2,499",438,192,"1,869",710,183,87,440,50,1,49,"3,259",621,280,"2,358",932,128,140,664,"2,964",36,324,"2,604","1,839",27,149,"1,663",402,0,65,337,50,1,49,"2,291",27,215,"2,049",673,9,109,555,"1,227",713,96,418,660,411,43,206,308,183,22,103,968,594,65,309,259,119,31,109,400,219,103,322,78,671,397,19,416,255,585,347,19,366,219,86,50,50,36,408,11,273,10,135,1
OR,7,"12,164","2,685","1,174","8,305","2,767",481,206,"2,080","3,324","1,070",332,"1,922",10,1,9,"6,101","1,551",539,"4,011","6,063","1,134",635,"4,294","7,988",232,886,"6,870","2,079",83,151,"1,845","1,576",34,183,"1,359",10,1,9,"3,665",117,335,"3,213","4,323",115,551,"3,657","4,176","2,453",288,"1,435",688,398,55,235,"1,748","1,036",149,563,"2,436","1,434",204,798,"1,740","1,019",84,637,"1,275",224,562,786,489,"2,695",567,10,577,"2,118","2,207",495,10,505,"1,702",488,72,72,416,"1,292",118,702,70,590,48
