State,Number of CoCs,"Overall Homeless, 2014","Overall Homeless - Under 18, 2014","Overall Homeless - Age 18 to 24, 2014","Overall Homeless - Over 24, 2014","Sheltered ES Homeless, 2014","Sheltered ES Homeless - Under 18, 2014","Sheltered ES Homeless - Age 18 to 24, 2014","Sheltered ES Homeless - Over 24, 2014","Sheltered TH Homeless, 2014","Sheltered TH Homeless - Under 18, 2014","Sheltered TH Homeless - Age 18 to 24, 2014","Sheltered TH Homeless - Over 24, 2014","Sheltered SH Homeless, 2014","Sheltered SH Homeless - Age 18 to 24, 2014","Sheltered SH Homeless - Over 24, 2014","Sheltered Total Homeless, 2014","Sheltered Total Homeless - Under 18, 2014","Sheltered Total Homeless - Age 18 to 24, 2014","Sheltered Total Homeless - Over 24, 2014","Unsheltered Homeless, 2014","Unsheltered Homeless - Under 18, 2014","Unsheltered Homeless - Age 18 to 24, 2014","Unsheltered Homeless - Over 24, 2014","Overall Homeless Individuals, 2014","Overall Homeless Individuals - Under 18, 2014","Overall Homeless Individuals - Age 18 to 24, 2014","Overall Homeless Individuals - Over 24, 2014","Sheltered ES Homeless Individuals, 2014","Sheltered ES Homeless Individuals - Under 18, 2014","Sheltered ES Homeless Individuals - Age 18 to 24, 2014","Sheltered ES Homeless Individuals - Over 24, 2014","Sheltered TH Homeless Individuals, 2014","Sheltered TH Homeless Individuals - Under 18, 2014","Sheltered TH Homeless Individuals - Age 18 to 24, 2014","Sheltered TH Homeless Individuals - Over 24, 2014","Sheltered SH Homeless Individuals, 2014","Sheltered SH Homeless Individuals - Age 18 to 24, 2014","Sheltered SH Homeless Individuals - Over 24, 2014","Sheltered Total Homeless Individuals, 2014","Sheltered Total Homeless Individuals - Under 18, 2014","Sheltered Total Homeless Individuals - Age 18 to 24, 2014","Sheltered Total Homeless Individuals - Over 24, 2014","Unsheltered Homeless Individuals, 2014","Unsheltered Homeless Individuals - Under 18, 2014","Unsheltered Homeless Individuals - Age 18 to 24, 2014","Unsheltered Homeless Individuals - Over 24, 2014","Overall Homeless People in Families, 2014","Overall Homeless People in Families - Under 18, 2014","Overall Homeless People in Families - Age 18 to 24, 2014","Overall Homeless People in Families - Over 24, 2014","Sheltered ES Homeless People in Families, 2014","Sheltered ES Homeless People in Families - Under 18, 2014","Sheltered ES Homeless People in Families - Age 18 to 24, 2014","Sheltered ES Homeless People in Families - Over 24, 2014","Sheltered TH Homeless People in Families, 2014","Sheltered TH Homeless People in Families - Under 18, 2014","Sheltered TH Homeless People in Families - Age 18 to 24, 2014","Sheltered TH Homeless People in Families - Over 24, 2014","Sheltered Total Homeless People in Families, 2014","Sheltered Total Homeless People in Families - Under 18, 2014","Sheltered Total Homeless People in Families - Age 18 to 24, 2014","Sheltered Total Homeless People in Families - Over 24, 2014","Unsheltered Homeless People in Families, 2014","Unsheltered Homeless People in Families - Under 18, 2014","Unsheltered Homeless People in Families - Age 18 to 24, 2014","Unsheltered Homeless People in Families - Over 24, 2014","Overall Homeless Family Households, 2014","Sheltered ES Homeless Family Households, 2014","Sheltered TH Homeless Family Households, 2014","Sheltered Total Homeless Family Households, 2014","Unsheltered Homeless Family Households, 2014","Overall Chronically Homeless, 2014","Sheltered ES Chronically Homeless, 2014","Sheltered SH Chronically Homeless, 2014","Sheltered Total Chronically Homeless, 2014","Unsheltered Chronically Homeless, 2014","Overall Chronically Homeless Individuals, 2014","Sheltered ES Chronically Homeless Individuals, 2014","Sheltered SH Chronically Homeless Individuals, 2014","Sheltered Total Chronically Homeless Individuals, 2014","Unsheltered Chronically Homeless Individuals, 2014","Overall Chronically Homeless People in Families, 2014","Sheltered ES Chronically Homeless People in Families, 2014","Sheltered Total Chronically Homeless People in Families, 2014","Unsheltered Chronically Homeless People in Families, 2014","Overall Homeless Veterans, 2014","Overall Homeless Veterans - Female, 2014","Sheltered Total Homeless Veterans, 2014","Sheltered Total Homeless Veterans - Female, 2014","Unsheltered Homeless Veterans, 2014","Unsheltered Homeless Veterans - Female, 2014"
AK,2,"1,784",397,202,"1,185","1,139",205,118,816,500,160,59,281,0,0,0,"1,639",365,177,"1,097",145,32,25,88,"1,209",18,181,"1,010",848,14,101,733,261,3,55,203,0,0,0,"1,109",17,156,936,100,1,25,74,575,379,21,175,291,191,17,83,239,157,4,78,530,348,21,161,45,31,0,14,193,108,71,179,14,206,137,0,137,69,182,119,0,119,63,24,18,18,6,178,7,160,7,18,0
AL,8,"4,561",772,366,"3,423","1,851",228,157,"1,466","1,636",411,100,"1,125",31,4,27,"3,518",639,261,"2,618","1,043",133,105,805,"3,115",16,262,"2,837","1,419",11,120,"1,288",923,2,72,849,31,4,27,"2,373",13,196,"2,164",742,3,66,673,"1,446",756,104,586,432,217,37,178,713,409,28,276,"1,145",626,65,454,301,130,39,132,457,141,216,357,100,729,257,26,283,446,618,219,26,245,373,111,38,38,73,542,49,450,38,92,11
AR,6,"2,936",355,315,"2,266","1,021",125,117,779,482,132,26,324,0,0,0,"1,503",257,143,"1,103","1,433",98,172,"1,163","2,303",25,250,"2,028",775,5,93,677,295,18,15,262,0,0,0,"1,070",23,108,939,"1,233",2,142,"1,089",633,330,65,238,246,120,24,102,187,114,11,62,433,234,35,164,200,96,30,74,240,108,64,172,68,519,85,0,85,434,516,82,0,82,434,3,3,3,0,361,71,220,68,141,3
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,"10,495","2,679","1,024","6,792","4,291","1,052",372,"2,867","3,595","1,519",422,"1,654",40,4,36,"7,926","2,571",798,"4,557","2,569",108,226,"2,235","6,194",64,667,"5,463","2,589",36,232,"2,321","1,222",25,221,976,40,4,36,"3,851",61,457,"3,333","2,343",3,210,"2,130","4,301","2,615",357,"1,329","1,702","1,016",140,546,"2,373","1,494",201,678,"4,075","2,510",341,"1,224",226,105,16,105,"1,295",532,702,"1,234",61,959,297,19,316,643,904,284,19,303,601,55,13,13,42,858,62,635,50,223,12
CA,40,"113,952","15,057","13,853","85,042","20,964","4,379","1,588","14,997","21,365","6,364","2,726","12,275",186,1,185,"42,515","10,743","4,315","27,457","71,437","4,314","9,538","57,585","90,765","1,999","11,927","76,839","14,114",250,"1,033","12,831","10,557",105,"1,687","8,765",186,1,185,"24,857",355,"2,721","21,781","65,908","1,644","9,206","55,058","23,187","13,058","1,926","8,203","6,850","4,129",555,"2,166","10,808","6,259","1,039","3,510","17,658","10,388","1,594","5,676","5,529","2,670",332,"2,527","6,956","1,944","3,184","5,128","1,828","31,078","5,017",114,"5,131","25,947","28,200","4,303",114,"4,417","23,783","2,878",714,714,"2,164","12,096","1,038","4,457",458,"7,639",580
CO,3,"10,028","2,835","1,004","6,189","4,002",697,344,"2,961","4,058","1,928",444,"1,686",23,0,23,"8,083","2,625",788,"4,670","1,945",210,216,"1,519","5,573",168,600,"4,805","2,849",12,257,"2,580","1,163",149,169,845,23,0,23,"4,035",161,426,"3,448","1,538",7,174,"1,357","4,455","2,667",404,"1,384","1,153",685,87,381,"2,895","1,779",275,841,"4,048","2,464",362,"1,222",407,203,42,162,"1,317",352,835,"1,187",130,"1,621",747,0,747,874,"1,335",635,0,635,700,286,112,112,174,753,63,528,44,225,19
CT,6,"4,450",836,308,"3,306","2,481",462,183,"1,836","1,050",318,67,665,0,0,0,"3,531",780,250,"2,501",919,56,58,805,"3,069",5,189,"2,875","1,730",4,114,"1,612",513,1,22,490,0,0,0,"2,243",5,136,"2,102",826,0,53,773,"1,381",831,119,431,751,458,69,224,537,317,45,175,"1,288",775,114,399,93,56,5,32,495,263,195,458,37,"1,215",847,0,847,368,"1,026",696,0,696,330,189,151,151,38,295,14,221,13,74,1
DC,1,"7,748","2,241",837,"4,670","5,754","1,725",615,"3,414","1,598",516,204,878,0,0,0,"7,352","2,241",819,"4,292",396,0,18,378,"3,953",5,210,"3,738","2,828",3,117,"2,708",729,2,75,652,0,0,0,"3,557",5,192,"3,360",396,0,18,378,"3,795","2,236",627,932,"2,926","1,722",498,706,869,514,129,226,"3,795","2,236",627,932,0,0,0,0,"1,231",907,324,"1,231",0,"2,029","1,694",0,"1,694",335,"1,609","1,274",0,"1,274",335,420,420,420,0,406,47,375,45,31,2
DE,1,901,220,51,630,435,83,19,333,429,133,30,266,0,0,0,864,216,49,599,37,4,2,31,584,15,37,532,318,8,13,297,236,7,22,207,0,0,0,554,15,35,504,30,0,2,28,317,205,14,98,117,75,6,36,193,126,8,59,310,201,14,95,7,4,0,3,104,40,62,102,2,91,82,0,82,9,88,79,0,79,9,3,3,3,0,93,5,89,5,4,0
