State,Number of CoCs,"Overall Homeless, 2012","Sheltered ES Homeless, 2012","Sheltered TH Homeless, 2012","Sheltered SH Homeless, 2012","Sheltered Total Homeless, 2012","Unsheltered Homeless, 2012","Overall Homeless Individuals, 2012","Overall Homeless Individuals - Under 18, 2012","Sheltered ES Homeless Individuals, 2012","Sheltered ES Homeless Individuals - Under 18, 2012","Sheltered TH Homeless Individuals, 2012","Sheltered TH Homeless Individuals - Under 18, 2012","Sheltered SH Homeless Individuals, 2012","Sheltered Total Homeless Individuals, 2012","Sheltered Total Homeless Individuals - Under 18, 2012","Unsheltered Homeless Individuals, 2012","Unsheltered Homeless Individuals - Under 18, 2012","Overall Homeless People in Families, 2012","Sheltered ES Homeless People in Families, 2012","Sheltered TH Homeless People in Families, 2012","Sheltered Total Homeless People in Families, 2012","Unsheltered Homeless People in Families, 2012","Overall Homeless Family Households, 2012","Sheltered ES Homeless Family Households, 2012","Sheltered TH Homeless Family Households, 2012","Sheltered Total Homeless Family Households, 2012","Unsheltered Homeless Family Households, 2012","Overall Chronically Homeless, 2012","Sheltered ES Chronically Homeless, 2012","Sheltered SH Chronically Homeless, 2012","Sheltered Total Chronically Homeless, 2012","Unsheltered Chronically Homeless, 2012","Overall Chronically Homeless Individuals, 2012","Sheltered ES Chronically Homeless Individuals, 2012","Sheltered SH Chronically Homeless Individuals, 2012","Sheltered Total Chronically Homeless Individuals, 2012","Unsheltered Chronically Homeless Individuals, 2012","Overall Chronically Homeless People in Families, 2012","Sheltered ES Chronically Homeless People in Families, 2012","Sheltered Total Chronically Homeless People in Families, 2012","Unsheltered Chronically Homeless People in Families, 2012","Overall Homeless Veterans, 2012","Sheltered Total Homeless Veterans, 2012","Unsheltered Homeless Veterans, 2012"
AK,2,"1,913","1,139",577,0,"1,716",197,"1,298",33,849,27,308,4,0,"1,157",31,141,2,615,290,269,559,56,216,92,102,194,22,279,263,0,263,16,273,257,0,257,16,6,6,6,0,256,227,29
AL,8,"5,209","1,663","1,969",32,"3,664","1,545","3,825",49,"1,158",20,"1,383",3,32,"2,573",23,"1,252",26,"1,384",505,586,"1,091",293,497,182,201,383,114,969,321,32,353,616,910,299,32,331,579,59,22,22,37,526,377,149
AR,6,"4,214",886,716,0,"1,602","2,612","3,428",80,707,68,484,12,0,"1,191",80,"2,237",0,786,179,232,411,375,266,65,69,134,132,437,171,0,171,266,361,142,0,142,219,76,29,29,47,362,205,157
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,"11,302","4,291","3,884",40,"8,215","3,087","6,310",129,"2,507",30,"1,239",21,40,"3,786",51,"2,524",78,"4,992","1,784","2,645","4,429",563,"1,465",569,758,"1,327",138,"1,895",581,34,615,"1,280","1,605",355,34,389,"1,216",290,226,226,64,"1,478","1,007",471
CA,42,"120,098","22,200","23,530",160,"45,890","74,208","94,888","1,366","14,608",169,"11,726",115,160,"26,494",284,"68,394","1,082","25,210","7,592","11,804","19,396","5,814","8,076","2,410","3,780","6,190","1,886","33,356","5,337",121,"5,458","27,898","30,189","4,791",121,"4,912","25,277","3,167",546,546,"2,621","14,611","4,512","10,099"
CO,3,"16,768","3,502","3,733",25,"7,260","9,508","5,101",335,"1,892",15,930,14,25,"2,847",29,"2,254",306,"11,667","1,610","2,803","4,413","7,254","3,104",457,825,"1,282","1,822","1,943",759,25,784,"1,159","1,612",468,25,493,"1,119",331,291,291,40,"1,512",800,712
CT,7,"4,209","2,271","1,243",0,"3,514",695,"2,906",1,"1,577",1,675,0,0,"2,252",1,654,0,"1,303",694,568,"1,262",41,449,239,193,432,17,944,614,0,614,330,924,594,0,594,330,20,20,20,0,332,285,47
DC,1,"6,954","3,772","2,503",0,"6,275",679,"3,767",13,"2,166",10,922,3,0,"3,088",13,679,0,"3,187","1,606","1,581","3,187",0,"1,014",511,503,"1,014",0,"2,315","1,773",0,"1,773",542,"1,870","1,328",0,"1,328",542,445,445,445,0,531,466,65
DE,1,"1,008",527,449,10,986,22,611,0,364,0,215,0,10,589,0,22,0,397,163,234,397,0,128,49,79,128,0,100,82,7,89,11,84,66,7,73,11,16,16,16,0,66,64,2
