State,Number of CoCs,"Overall Homeless, 2011","Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
AK,2,"2,128","1,035",725,0,"1,760",368,"1,286",21,703,8,339,12,0,"1,042",20,244,1,842,332,386,718,124,277,124,116,240,37,253,194,0,194,59,226,169,0,169,57,27,25,25,2,288,236,52
AL,8,"5,558","1,615","2,100",34,"3,749","1,809","4,325",114,"1,219",38,"1,529",32,34,"2,782",70,"1,543",44,"1,233",396,571,967,266,434,134,194,328,106,"1,114",384,34,418,696,"1,046",362,34,396,650,68,22,22,46,659,387,272
AR,7,"3,424","1,018",784,0,"1,802","1,622","2,505",158,762,78,558,72,0,"1,320",150,"1,185",8,919,256,226,482,437,349,104,83,187,162,607,328,0,328,279,500,267,0,267,233,107,61,61,46,411,268,143
AS,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
AZ,3,"10,504","3,571","3,691",40,"7,302","3,202","6,403",117,"2,245",20,"1,399",15,40,"3,684",35,"2,719",82,"4,101","1,326","2,292","3,618",483,"1,239",406,713,"1,119",120,"2,283",988,40,"1,028","1,255","1,939",698,40,738,"1,201",344,290,290,54,"1,528","1,018",510
CA,42,"125,128","26,282","24,220",189,"50,691","74,437","97,964","1,689","15,920",248,"12,919",195,189,"29,028",443,"68,936","1,246","27,164","10,362","11,301","21,663","5,501","9,021","3,543","3,750","7,293","1,728","34,589","6,940",99,"7,039","27,550","30,807","5,727",99,"5,826","24,981","3,782","1,213","1,213","2,569","16,783","6,689","10,094"
CO,3,"15,116","2,979","3,142",25,"6,146","8,970","4,546",448,"1,802",132,824,10,25,"2,651",142,"1,895",306,"10,570","1,177","2,318","3,495","7,075","2,935",423,731,"1,154","1,781","1,495",524,25,549,946,"1,288",351,25,376,912,207,173,173,34,"2,074","1,381",693
CT,7,"4,456","2,358","1,403",0,"3,761",695,"3,071",2,"1,622",2,795,0,0,"2,417",2,654,0,"1,385",736,608,"1,344",41,482,259,206,465,17,"1,099",769,0,769,330,"1,043",713,0,713,330,56,56,56,0,443,396,47
DC,1,"6,546","3,641","2,600",0,"6,241",305,"3,858",26,"2,636",22,917,4,0,"3,553",26,305,0,"2,688","1,005","1,683","2,688",0,858,326,532,858,0,"2,509","2,234",0,"2,234",275,"2,093","1,818",0,"1,818",275,416,416,416,0,515,490,25
DE,1,"1,035",549,454,10,"1,013",22,663,0,375,0,256,0,10,641,0,22,0,372,174,198,372,0,116,54,62,116,0,70,53,6,59,11,70,53,6,59,11,0,0,0,0,55,53,2
FL,28,"56,687","9,641","11,032",151,"20,824","35,863","37,584","1,031","6,849",273,"6,934",178,151,"13,934",451,"23,650",580,"19,103","2,792","4,098","6,890","12,213","6,483","1,001","1,324","2,325","4,158","11,638","3,437",140,"3,577","8,061","10,263","3,055",140,"3,195","7,068","1,375",382,382,993,"5,644","2,276","3,368"
GA,7,"20,975","4,483","4,240",0,"8,723","12,252","15,975",103,"3,301",11,"2,087",0,0,"5,388",11,"10,587",92,"5,000","1,182","2,153","3,335","1,665","1,661",410,722,"1,132",529,"4,581","2,112",0,"2,112","2,469","3,879","1,841",0,"1,841","2,038",702,271,271,431,"2,243","1,025","1,218"
GU,1,"1,745",67,137,0,204,"1,541",279,0,10,0,26,0,0,36,0,243,0,"1,466",57,111,168,"1,298",250,14,25,39,211,370,0,0,0,370,25,0,0,0,25,345,0,0,345,33,7,26
