State,Number of CoCs,"Overall Homeless, 2011","Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
HI,2,"6,188","1,076","2,531",25,"3,632","2,556","3,195",7,527,3,525,0,25,"1,077",3,"2,118",4,"2,993",549,"2,006","2,555",438,775,150,500,650,125,935,97,19,116,819,904,92,19,111,793,31,5,5,26,505,210,295
IA,3,"3,134","1,179","1,834",0,"3,013",121,"1,628",41,765,22,753,19,0,"1,518",41,110,0,"1,506",414,"1,081","1,495",11,472,130,337,467,5,351,284,0,284,67,315,248,0,248,67,36,36,36,0,267,255,12
ID,2,"2,199",797,788,0,"1,585",614,"1,310",7,548,5,293,0,0,841,5,469,2,889,249,495,744,145,297,92,164,256,41,308,149,0,149,159,236,129,0,129,107,72,20,20,52,250,169,81
IL,20,"14,009","4,957","6,040",92,"11,089","2,920","8,173",232,"3,591",22,"2,009",98,92,"5,692",120,"2,481",112,"5,836","1,366","4,031","5,397",439,"1,957",461,"1,343","1,804",153,"2,563","1,405",78,"1,483","1,080","2,400","1,315",78,"1,393","1,007",163,90,90,73,"1,081",765,316
IN,3,"6,196","2,734","2,795",21,"5,550",646,"3,789",29,"1,776",16,"1,459",11,21,"3,256",27,533,2,"2,407",958,"1,336","2,294",113,758,310,409,719,39,602,425,0,425,177,602,425,0,425,177,0,0,0,0,714,638,76
KS,5,"2,511","1,348",860,14,"2,222",289,"1,425",16,756,2,430,13,14,"1,200",15,225,1,"1,086",592,430,"1,022",64,328,180,129,309,19,338,245,7,252,86,280,198,7,205,75,58,47,47,11,384,342,42
KY,3,"6,034","2,496","2,675",12,"5,183",851,"3,842",79,"1,795",57,"1,363",22,12,"3,170",79,672,0,"2,192",701,"1,312","2,013",179,731,223,455,678,53,784,572,5,577,207,659,503,5,508,151,125,69,69,56,636,579,57
LA,9,"9,291","1,223","2,133",49,"3,405","5,886","7,941",41,947,19,"1,201",20,49,"2,197",39,"5,744",2,"1,350",276,932,"1,208",142,469,91,333,424,45,"4,433",154,11,165,"4,268","4,352",147,11,158,"4,194",81,7,7,74,950,443,507
MA,20,"16,664","11,589","4,333",39,"15,961",703,"6,344",68,"3,102",28,"2,531",10,39,"5,672",38,672,30,"10,320","8,487","1,802","10,289",31,"3,531","2,803",718,"3,521",10,"2,061","1,689",22,"1,711",350,"1,666","1,297",22,"1,319",347,395,392,392,3,"1,268","1,210",58
MD,16,"10,208","3,606","2,831",59,"6,496","3,712","6,353",8,"2,429",6,"1,469",2,59,"3,957",8,"2,396",0,"3,855","1,177","1,362","2,539","1,316","1,338",389,440,829,509,"1,800",862,36,898,902,"1,627",767,36,803,824,173,95,95,78,696,577,119
ME,3,"2,447",904,"1,499",15,"2,418",29,"1,184",29,611,19,531,10,15,"1,157",29,27,0,"1,263",293,968,"1,261",2,427,101,325,426,1,212,187,15,202,10,212,187,15,202,10,0,0,0,0,127,121,6
MI,21,"13,185","5,412","5,416",36,"10,864","2,321","7,634",215,"3,492",66,"2,193",110,36,"5,721",176,"1,913",39,"5,551","1,920","3,223","5,143",408,"1,825",647,"1,042","1,689",136,"1,764","1,235",23,"1,258",506,"1,611","1,119",23,"1,142",469,153,116,116,37,959,755,204
MN,10,"7,495","3,504","3,049",14,"6,567",928,"3,410",203,"1,783",43,921,124,14,"2,718",167,692,36,"4,085","1,721","2,128","3,849",236,"1,265",473,716,"1,189",76,"1,862","1,504",14,"1,518",344,"1,211",941,14,955,256,651,563,563,88,449,371,78
MO,8,"8,989","3,523","3,147",48,"6,718","2,271","4,657",113,"1,830",85,"1,385",27,48,"3,263",112,"1,394",1,"4,332","1,693","1,762","3,455",877,"1,330",546,513,"1,059",271,"1,418",884,45,929,489,"1,156",747,45,792,364,262,137,137,125,852,627,225
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,"2,306",429,625,2,"1,056","1,250","1,825",52,273,32,459,11,2,734,43,"1,091",9,481,156,166,322,159,141,46,47,93,48,471,134,1,135,336,438,125,1,126,312,33,9,9,24,205,114,91
MT,1,"1,768",708,508,0,"1,216",552,"1,094",29,387,16,249,10,0,636,26,458,3,674,321,259,580,94,222,99,93,192,30,324,149,0,149,175,203,76,0,76,127,121,73,73,48,251,135,116
NC,12,"12,896","5,175","4,070",0,"9,245","3,651","8,303",102,"3,659",44,"2,376",34,0,"6,035",78,"2,268",24,"4,593","1,516","1,694","3,210","1,383","1,460",500,558,"1,058",402,"1,476",916,0,916,560,"1,365",845,0,845,520,111,71,71,40,"1,248",941,307
ND,1,603,415,145,0,560,43,396,1,283,0,83,1,0,366,1,30,0,207,132,62,194,13,60,33,22,55,5,75,69,0,69,6,67,63,0,63,4,8,6,6,2,124,121,3
NE,3,"3,548","1,623","1,418",0,"3,041",507,"2,210",121,"1,166",43,706,25,0,"1,872",68,338,53,"1,338",457,712,"1,169",169,433,163,213,376,57,502,409,0,409,93,445,361,0,361,84,57,48,48,9,310,253,57
NH,3,"1,469",582,569,8,"1,159",310,820,9,419,0,204,9,8,631,9,189,0,649,163,365,528,121,243,71,132,203,40,226,143,5,148,78,166,88,5,93,73,60,55,55,5,126,118,8
NJ,19,"14,137","8,110","4,700",20,"12,830","1,307","6,841",84,"4,407",53,"1,533",25,20,"5,960",78,881,6,"7,296","3,703","3,167","6,870",426,"2,556","1,322","1,096","2,418",138,955,788,0,788,167,750,610,0,610,140,205,178,178,27,811,668,143
NM,2,"3,601","1,693","1,060",0,"2,753",848,"2,246",148,"1,238",94,343,18,0,"1,581",112,665,36,"1,355",455,717,"1,172",183,430,145,226,371,59,"1,117",658,0,658,459,971,564,0,564,407,146,94,94,52,364,221,143
NV,3,"9,150","1,436","3,084",25,"4,545","4,605","7,973",425,"1,140",11,"2,238",72,25,"3,403",83,"4,570",342,"1,177",296,846,"1,142",35,381,94,274,368,13,"1,353",193,3,196,"1,157","1,342",184,3,187,"1,155",11,9,9,2,"1,240",692,548
NY,32,"63,445","49,471","10,179",128,"59,778","3,667","27,338",166,"17,222",73,"6,492",92,128,"23,842",165,"3,496",1,"36,107","32,249","3,687","35,936",171,"11,988","10,698","1,234","11,932",56,"4,208","1,944",126,"2,070","2,138","3,840","1,629",126,"1,755","2,085",368,315,315,53,"5,765","5,246",519
OH,9,"13,030","5,997","5,134",93,"11,224","1,806","7,812",101,"4,049",54,"2,187",23,93,"6,329",77,"1,483",24,"5,218","1,948","2,947","4,895",323,"1,683",638,944,"1,582",101,"2,014","1,307",75,"1,382",632,"1,881","1,213",75,"1,288",593,133,94,94,39,"1,279","1,083",196
OK,8,"4,625","2,062",867,59,"2,988","1,637","3,236",422,"1,554",60,457,17,59,"2,070",77,"1,166",345,"1,389",508,410,918,471,469,176,135,311,158,793,399,19,418,375,568,288,19,307,261,225,111,111,114,356,301,55
OR,7,"17,254","2,555","4,418",39,"7,012","10,242","9,445",904,"1,577",173,"1,633",243,39,"3,249",416,"6,196",488,"7,809",978,"2,785","3,763","4,046","2,623",327,915,"1,242","1,381","3,739",877,39,916,"2,823","3,017",665,39,704,"2,313",722,212,212,510,"1,474",655,819
PA,18,"15,096","7,387","6,484",165,"14,036","1,060","7,867",52,"4,504",33,"2,203",0,165,"6,872",33,995,19,"7,229","2,883","4,281","7,164",65,"2,396",950,"1,423","2,373",23,"1,719",995,144,"1,139",580,"1,508",794,144,938,570,211,201,201,10,"1,392","1,262",130
PR,2,"2,900",330,667,37,"1,034","1,866","2,346",2,241,1,518,0,37,796,1,"1,550",1,554,89,149,238,316,261,38,73,111,150,"3,564",533,31,564,"3,000","1,647",218,31,249,"1,398","1,917",315,315,"1,602",137,50,87
RI,1,"1,070",680,338,21,"1,039",31,652,8,485,3,115,5,21,621,8,31,0,418,195,223,418,0,137,62,75,137,0,176,157,14,171,5,176,157,14,171,5,0,0,0,0,123,121,2
SC,4,"5,093","1,554","1,388",12,"2,954","2,139","3,505",20,"1,210",7,745,3,12,"1,967",10,"1,538",10,"1,588",344,643,987,601,527,125,222,347,180,645,219,12,231,414,504,217,12,229,275,141,2,2,139,612,389,223
SD,1,826,371,391,0,762,64,460,21,218,13,195,8,0,413,21,47,0,366,153,196,349,17,123,52,67,119,4,34,21,0,21,13,34,21,0,21,13,0,0,0,0,109,99,10
TN,10,"9,113","3,007","2,888",20,"5,915","3,198","6,475",46,"2,322",16,"1,896",1,20,"4,238",17,"2,237",29,"2,638",685,992,"1,677",961,910,216,323,539,371,"1,757",886,18,904,853,"1,661",810,18,828,833,96,76,76,20,965,732,233
TX,16,"36,911","10,027","8,788",157,"18,972","17,939","23,577","1,520","6,226",353,"4,024",249,157,"10,407",602,"13,170",918,"13,334","3,801","4,764","8,565","4,769","4,357","1,418","1,488","2,906","1,451","8,223","3,192",61,"3,253","4,970","7,390","2,634",61,"2,695","4,695",833,558,558,275,"4,891","2,365","2,526"
UT,3,"3,130","1,506","1,133",48,"2,687",443,"1,842",5,948,0,438,3,48,"1,434",3,408,2,"1,288",558,695,"1,253",35,389,166,215,381,8,383,236,48,284,99,364,217,48,265,99,19,19,19,0,345,310,35
VA,20,"8,816","4,395","2,928",63,"7,386","1,430","5,231",20,"2,926",17,"1,028",3,63,"4,017",20,"1,214",0,"3,585","1,469","1,900","3,369",216,"1,145",477,607,"1,084",61,"1,643",986,43,"1,029",614,"1,571",930,43,973,598,72,56,56,16,931,768,163
VI,1,532,37,117,0,154,378,450,0,13,0,59,0,0,72,0,378,0,82,24,58,82,0,22,7,15,22,0,195,4,0,4,191,195,4,0,4,191,0,0,0,0,32,0,32
VT,2,"1,144",579,438,4,"1,021",123,637,20,340,10,189,10,4,533,20,104,0,507,239,249,488,19,156,75,75,150,6,114,87,0,87,27,94,67,0,67,27,20,20,20,0,81,75,6
WA,7,"20,439","6,047","8,976",52,"15,075","5,364","10,868",261,"3,934",91,"2,232",60,52,"6,218",151,"4,650",110,"9,571","2,113","6,744","8,857",714,"3,040",658,"2,182","2,840",200,"2,388","1,261",52,"1,313","1,075","2,136","1,159",52,"1,211",925,252,102,102,150,"1,478","1,167",311
WI,4,"5,785","2,644","2,650",61,"5,355",430,"2,838",34,"1,520",21,923,7,61,"2,504",28,334,6,"2,947","1,124","1,727","2,851",96,994,358,607,965,29,497,405,20,425,72,410,327,20,347,63,87,78,78,9,607,584,23
WV,4,"2,211",923,471,11,"1,405",806,"1,662",2,696,1,285,0,11,992,1,670,1,549,227,186,413,136,207,85,71,156,51,299,184,5,189,110,287,174,5,179,108,12,10,10,2,302,236,66
WY,1,"1,038",127,68,0,195,843,320,26,79,0,48,0,0,127,0,193,26,718,48,20,68,650,223,22,7,29,194,104,27,0,27,77,82,27,0,27,55,22,0,0,22,83,39,44
Total,432,"623,788","221,457","168,961","1,898","392,316","231,472","387,613","9,398","124,432","2,444","79,504","1,913","1,898","205,834","4,357","181,779","5,041","236,175","97,025","89,457","186,482","49,693","77,184","32,415","29,221","61,636","15,548","119,033","44,834","1,335","46,169","72,864","103,522","37,636","1,335","38,971","64,551","15,511","7,198","7,198","8,313","65,455","40,033","25,422"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
